Name,Attributes,n,n1,n2
Wikipedia links (min),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",222989,,
Wikivoyage edits (it),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",31501,2538,28963
Wikibooks edits (fr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",58395,10072,48323
Wikipedia edits (mn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",60257,5619,54638
Wikipedia edits (os),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",41947,1706,40241
Wikipedia links (vo),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",242046,,
Wikipedia links (cv),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",44634,,
Wikiversity edits (de),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",82453,5613,76840
New York City,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",264346,,
Wikipedia links (ky),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",85076,,
WikiSigned,"['Online contact network', 'Unipartite directed', 'Signed possibly weighted no multiple edges', 'Contains loops']",138592,,
Wiktionary edits (lo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",62549,319,62230
Wikipedia edits (gu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",79543,8403,71140
Wikipedia edits (bh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",61119,18352,42767
Wiktionary edits (sr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",220994,668,220326
Wikipedia edits (yi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",41363,2760,38603
Wikipedia edits (pnb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",63190,1661,61529
Wikipedia edits (ckb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",114218,3691,110527
Wikipedia links (nap),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",15441,,
Wikipedia edits (yo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",55100,1713,53387
Wikipedia edits (gd),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",32651,2995,29656
San Francisco Bay Area,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",321270,,
Wikipedia links (roa-tara),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",10423,,
Wikipedia edits (sco),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",169949,4055,165894
Wiktionary edits (eo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",112485,656,111829
Wikinews edits (ru),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",118212,2041,116171
Wikinews edits (es),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",42623,2330,40293
Wiktionary edits (uz),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",153595,306,153289
Wikipedia edits (su),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",68354,2204,66150
Gowalla,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",196591,,
Wikipedia links (yo),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",41205,,
Wiktionary edits (sa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",263998,623,263375
Wikipedia edits (ia),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",35162,2509,32653
Twitter (ICWSM),"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges']",465017,,
Wikiquote edits (ta),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",413526,491,413035
MathOverflow,"['Online contact network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops', 'Is a snapshot and likely to not contain all data']",24818,,
Wikipedia edits (vec),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",35868,2282,33586
Wikipedia links (fy),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",65562,,
Wiktionary edits (ml),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",137011,811,136200
Wikibooks edits (de),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",77233,11476,65757
Wikipedia edits (nap),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",28033,1753,26280
Wikipedia links (ckb),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",60722,,
Wikiversity edits (fr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",50559,7561,42998
Wikipedia edits (ne),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",90238,7557,82681
Amazon (MDS),"['Miscellaneous network', 'Unipartite undirected', 'Unweighted no multiple edges']",334863,,
Wikipedia links (sw),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",58770,,
Wikipedia links (is),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",69381,,
Wikipedia edits (bar),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",94087,3812,90275
Wikipedia links (mg),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",125916,,
Wikipedia links (my),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",44651,,
Wikipedia links (su),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",43169,,
Wikipedia links (qu),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",37219,,
Wikipedia edits (cv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",70003,2266,67737
Wiktionary edits (li),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",120876,444,120432
Wikipedia edits (ku),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",61976,3534,58442
Wikipedia links (ba),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",52560,,
Wiktionary edits (gl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",62438,683,61755
Wikipedia edits (qu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",53539,2063,51476
Wikipedia talk (sv),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",120833,,
Wiktionary edits (kn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",267279,468,266811
Wiktionary edits (ar),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",97909,1538,96371
Wikipedia links (ilo),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",20485,,
Wikipedia links (scn),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",39957,,
DBLP co-authorship,"['Coauthorship network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is the join of an underlying network']",317080,,
Colorado,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",435666,,
Wikipedia talk (vi),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",338714,,
Wikipedia links (an),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",56485,,
Wikipedia edits (scn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",59039,2902,56137
Wikipedia edits (ht),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",64801,2045,62756
Wikipedia edits (als),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",55065,4895,50170
Wikipedia links (mzn),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",18112,,
Reuters-21578,"['Text network', 'Bipartite undirected', 'Unweighted multiple edges']",60234,21557,38677
BookCrossing (implicit),"['Interaction network', 'Bipartite undirected', 'Unweighted no multiple edges']",445801,105278,340523
Wikipedia edits (lmo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",96949,2521,94428
Wikipedia edits (ba),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",114918,1934,112984
Wikipedia links (lb),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",64161,,
Wikipedia edits (arz),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",149412,8429,140983
Wikipedia links (gu),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",30430,,
Wikiquote edits (it),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",130834,7158,123676
Wikipedia links (pnb),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",51933,,
Facebook (WOSN),"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",63731,,
Wikinews edits (de),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",61822,3207,58615
Wikipedia links (sco),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",64347,,
Wiktionary edits (fa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",153841,1485,152356
Wikipedia edits (nds),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",75201,3689,71512
Wikinews edits (fr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",63443,3773,59670
"Amazon (TWEB, 0302)","['Miscellaneous network', 'Unipartite directed', 'Unweighted no multiple edges']",262111,,
Wikipedia edits (bpy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",59218,1320,57898
Wikipedia edits (mg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",220064,1974,218090
Wikipedia links (eml),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",11856,,
Wikipedia edits (kn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",99143,20679,78464
Wiktionary edits (my),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",125132,364,124768
Wikiquote edits (he),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",324017,1877,322140
Wikipedia edits (ga),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",71677,3936,67741
