,Name,URL,Category,Attributes,Size,Volume,Loop count,Wedge count,Claw count,Cross count,Triangle count,Square count,4-Tour count,Maximum degree,Average degree,Fill,Size of LCC,Diameter,50-Percentile effective diameter,90-Percentile effective diameter,Median distance,Mean distance,Gini coefficient,Balanced inequality ratio,Relative edge distribution entropy,Power law exponent,Tail power law exponent,Tail power law exponent with p,p-value,Degree assortativity,Degree assortativity p-value,Clustering coefficient,Spectral norm,Algebraic connectivity,Spectral separation,Non-bipartivity,Normalized non-bipartivity,Algebraic non-bipartivity,Spectral bipartite frustration,Controllability,Relative controllability,Left size,Right size,Maximum left degree,Maximum right degree,Average left degree,Average right degree,Left balanced inequality ratio,Right balanced inequality ratio,Left tail power law exponent with p,Left p-value,Right tail power law exponent with p,Right p-value,Maximum outdegree,Maximum indegree,Size of LSCC,Relative size of LSCC,Outdegree balanced inequality ratio,Indegree balanced inequality ratio,In/outdegree correlation,Directed clustering coefficient,Operator 2-norm,Cyclic eigenvalue,Reciprocity,Negativity,Algebraic conflict,Triadic conflict,Spectral signed frustration,Outdegree tail power law exponent with p,Outdegree p-value,Indegree tail power law exponent with p,Indegree p-value,Unique edge count,Average edge multiplicity
muk,Wiktionary edits (uk),edit-ukwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",45588,216084,,505243920,2461370019695,11025600071842706,,226429815.0,3832842196.0,34433,9.47986,0.00301226,44609,11.0,3.28533,3.88841,4.0,3.43482,0.798532,0.177503,0.702027,2.4666,2.221,2.221,0.0,-0.364172,0.0,,562.721,0.0253905,1.0907,,,,,43288.0,0.961485,907.0,44681.0,34433.0,522.0,238.24,4.83615,0.0393689,0.259334,1.651,0.0,8.981,0.772,,,,,,,,,,,,,,,,,,,,122074.0,1.77011
EU,European Union domain,dimacs10-eu-2005/,Hyperlink network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",862664,16138468,0.0,41592855049,399568418872993,4194998147314370048,202170577.0,262745367033.0,,68963,37.4154,,862664,21.0,4.20469,6.24229,5.0,4.91112,,0.261425,,,,,,,,0.0145821,,,,0.0182085,8.978750000000001e-05,0.000180101,1.20339e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mbr,Wiktionary edits (br),edit-brwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",44388,217681,,523437544,2690491858795,13261406569662936,,184708533.0,3571674364.0,34001,9.8081,0.00658072,42720,14.0,3.16435,3.84593,4.0,3.21482,0.784156,0.191877,0.687047,2.49673,2.891,2.891,0.0,-0.400647,0.0,,650.216,0.032779,1.50915,,,,,42216.0,0.982041,390.0,43998.0,34001.0,392.0,558.156,4.94752,0.0406329,0.278118,1.401,0.026,8.991,0.015,,,,,,,,,,,,,,,,,,,,112920.0,1.92775
bnl,Wikibooks edits (nl),edit-nlwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",29946,213603,,88486934,217139404982,514581012973920,,17193716.0,491720950.0,32832,14.2659,0.000744514,29539,11.0,3.35393,4.35739,4.0,3.69305,0.833099,0.159663,0.782595,2.552,2.071,2.071,0.0,,,,3807.69,0.0267362,2.86583,,,,,24295.0,0.814257,4136.0,25810.0,32832.0,4559.0,51.6448,8.27598,0.0982243,0.210774,1.701,0.0,3.521,0.368,,,,,,,,,,,,,,,,,,,,79477.0,2.68761
ntr,Wikinews edits (tr),edit-trwikinews/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",10072,235204,,14193429,15661649293,14972196566317,,1383464.0,67880182.0,192758,46.7045,0.00363856,9777,10.0,3.32716,3.97398,4.0,3.56279,0.965081,0.0522568,0.740023,3.46174,2.491,2.491,0.0,-0.270005,7.20066e-286,,191724,0.0500472,38.3985,,,,,9168.0,0.913329,495.0,9577.0,192758.0,191789.0,475.16,24.5593,0.0270021,0.086899,1.641,0.605,3.991,0.004,,,,,,,,,,,,,,,,,,,,17249.0,13.6358
Wmn,Wikipedia links (mn),wikipedia_link_mn/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",24924,488451,312.0,78957433,45727328891,13624045323781,10952341.0,2721819095.0,22091104240.0,3224,39.1952,0.000786295,24689,13.0,2.9513,4.00756,3.0,3.50916,0.764302,0.198503,0.866946,1.45248,2.241,,,-0.0111089,3.8020399999999996e-21,0.416136,739.353,0.0397384,3.79263,0.897887,0.020976,0.0380885,0.00032556,9062.0,0.363585,,,,,,,,,,,,,658.0,3202.0,16209.0,0.650337,0.209405,0.182319,0.593911,0.78827,372.851,366.35,0.521735,,,,,,,,,,
mhe,Wiktionary edits (he),edit-hewiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",38019,223551,,230267499,529675630787,1180475736630840,,121065733.0,1889853992.0,22116,11.76,0.00150927,37196,12.0,3.3888,4.37012,4.0,3.70197,0.793415,0.187121,0.747593,2.17449,2.691,2.691,0.0,-0.202302,0.0,,2195.49,0.0578924,2.05904,,,,,33610.0,0.894883,2291.0,35728.0,22116.0,4115.0,97.5779,6.25703,0.0601071,0.26844,1.601,0.215,4.931,0.476,,,,,,,,,,,,,,,,,,,,123538.0,1.80957
diq,Wikipedia edits (diq),edit-diqwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",27295,231555,,201007619,585501507656,1643434821910401,,176961139.0,2220094558.0,42003,16.9668,0.00267682,26323,10.0,3.11602,3.88241,4.0,3.2419,0.852284,0.151379,0.740439,2.18687,2.281,2.281,0.0,-0.360426,0.0,,1393.37,0.069033,2.0307,,,,,24152.0,0.898111,1525.0,25770.0,42003.0,1824.0,151.839,8.98545,0.0539958,0.213893,1.651,0.0,2.001,0.0,,,,,,,,,,,,,,,,,,,,105197.0,2.20116
Warz,Wikipedia links (arz),wikipedia_link_arz/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",24958,502048,4.0,105375646,74686238549,76972028838503,16028116.0,3433949843.0,27893867698.0,6384,40.2314,0.000805983,24678,11.0,2.91242,4.00652,3.0,3.46888,0.812697,0.158958,0.853045,1.51987,1.591,,,-0.0422993,2.04839e-300,0.456314,505.198,0.0855691,1.14148,0.799376,0.0559409,0.0953553,0.000767947,10929.0,0.437896,,,,,,,,,,,,,2186.0,6383.0,16555.0,0.663314,0.158943,0.159827,0.665951,0.796496,294.435,220.008,0.473505,,,,,,,,,,
Wor,Wikipedia links (or),wikipedia_link_or/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",25876,439724,1205.0,93830413,61941203410,31583604437513,14096716.0,3747010961.0,30352045206.0,4754,33.987,0.000656729,25706,11.0,3.70978,5.52335,4.0,4.2689,0.835463,0.146856,0.829608,1.6488,1.761,,,-0.105429,0.0,0.450708,742.352,0.0565514,2.58071,0.786863,0.0665349,0.10857,0.00109346,8851.0,0.342054,,,,,,,,,,,,,433.0,4595.0,12838.0,0.496135,0.152537,0.13027,0.670466,0.852149,377.168,364.881,0.551203,,,,,,,,,,
nfa,Wikinews edits (fa),edit-fawikinews/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",17279,241703,,50274050,131642010746,294210393362759,,2531009.0,221434240.0,81234,27.9765,0.0033383,16967,11.0,3.3014,4.88847,4.0,3.56968,0.948082,0.069693,0.72657,3.51579,2.251,2.251,0.0,-0.300998,0.0,,44160.0,0.0146208,1.57086,,,,,16240.0,0.941558,530.0,16749.0,81234.0,54709.0,456.043,14.4309,0.0350637,0.112452,1.511,0.327,4.621,0.002,,,,,,,,,,,,,,,,,,,,29634.0,8.15627
mmn,Wiktionary edits (mn),edit-mnwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",46998,227450,,752918045,8295808288089,74116792628850688,,61290927.0,3502160012.0,149443,9.67914,0.00414102,43704,15.0,1.74329,3.74092,2.0,2.69714,0.622795,0.282113,0.675177,3.05016,3.521,3.521,0.0,-0.404011,0.0,,884.093,0.00915853,4.45182,,,,,43376.0,0.981535,415.0,46583.0,149443.0,209.0,548.072,4.88268,0.066353,0.414592,1.451,0.0,5.481,0.0,,,,,,,,,,,,,,,,,,,,80054.0,2.84121
bes,Wikibooks edits (es),edit-eswikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",40141,218263,,90824615,208732490510,420857984395581,,35709314.0,649130496.0,26870,10.8748,0.000368572,37680,28.0,3.88438,5.74713,4.0,4.60214,0.789487,0.17766,0.794048,2.71157,2.371,2.371,0.0,-0.139814,0.0,,2432.49,0.00732869,2.12201,,,,,30685.0,0.781544,6100.0,34041.0,26870.0,3256.0,35.7808,6.41177,0.106899,0.248833,1.821,0.825,3.001,0.199,,,,,,,,,,,,,,,,,,,,76534.0,2.85184
mis,Wiktionary edits (is),edit-iswiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",27047,236424,,479915119,2019748844172,7146454150366240,,475067977.0,5720518140.0,56186,17.4825,0.00545496,26822,13.0,1.87786,3.86756,2.0,2.92797,0.743796,0.21804,0.715374,1.84848,1.581,1.581,0.687,-0.343839,0.0,,1010.09,0.0486901,1.79741,,,,,25457.0,0.942468,829.0,26218.0,56186.0,1267.0,285.192,9.01762,0.0464674,0.319481,1.551,0.004,5.061,0.294,,,,,,,,,,,,,,,,,,,,118562.0,1.9941
GH,Github,github/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",177386,440237,,53048506,17233019660,9927710269155,,50894505.0,620327470.0,3675,4.9636,6.44443e-05,139737,22.0,4.86062,6.51622,5.0,5.35342,0.744516,0.199248,0.873618,2.6124,1.951,,,-0.0357767,1.22326e-124,,120.273,0.0102038,2.02771,,,,,78745.0,0.443919,56519.0,120867.0,884.0,3675.0,7.78919,3.64233,0.20526,0.231457,,,,,,,,,,,,,,,,,,,,,,,,,
ES,Epinions,soc-Epinions1/,Online social network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",75879,508837,0.0,74201120,27111469575,9737182087729,1624481.0,166635817.0,1630702496.0,3079,13.4118,8.837740000000001e-05,75877,15.0,3.81609,5.25877,4.0,4.40033,0.814342,0.157292,0.845432,2.0258,1.691,,,-0.0406457,9.65433e-294,0.0656788,245.999,0.0224664,1.74314,0.723602,0.0167853,0.0322501,0.000753884,41816.0,0.551088,,,,,,,,,,,,,1801.0,3035.0,32223.0,0.424663,0.184344,0.17051,0.736595,0.0902969,139.616,106.528,0.405226,,,,,,,,,,
GE,Genres (DBpedia),dbpedia-genre/,Feature network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",266717,463497,,1331590538,6667061771791,32482545125451776,,54299350.0,5761771762.0,24821,3.47557,0.000229991,259138,32.0,3.70653,7.4351,4.0,5.07613,0.645943,0.258995,0.773524,3.23604,1.621,,,-0.078141,0.0,,171.978,0.00167473,1.22327,,,,,251772.0,0.944551,258934.0,7783.0,31.0,24821.0,1.79002,59.5525,0.377167,0.0731914,,,,,,,,,,,,,,,,,,,,,,,,,
bhu,Wikibooks edits (hu),edit-huwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",63280,247166,,921130871,9544643541524,75856859796865968,,3589559.0,3713639470.0,130670,7.81182,0.00144756,62709,12.0,3.11295,3.83899,4.0,3.16324,0.82236,0.158533,0.637331,10.2466,3.421,3.421,0.0,-0.252068,0.0,,2375.78,0.0318641,1.32659,,,,,61623.0,0.976453,805.0,62475.0,130670.0,1386.0,307.039,3.95624,0.0310682,0.244358,1.741,0.59,4.151,0.527,,,,,,,,,,,,,,,,,,,,72801.0,3.39509
bit,Wikibooks edits (it),edit-itwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",30047,238977,,70258576,83991697904,81611005882726,,17380953.0,420258662.0,35132,15.9069,0.00063855,29398,12.0,3.52383,4.97035,4.0,4.00782,0.832728,0.160369,0.783092,2.41235,2.541,2.541,0.0,-0.218349,0.0,,26549.8,0.0479009,19.7929,,,,,23947.0,0.801171,4294.0,25753.0,35132.0,26828.0,55.6537,9.27958,0.0885357,0.217444,1.791,0.138,3.251,0.918,,,,,,,,,,,,,,,,,,,,70613.0,3.38432
ky,Wikipedia edits (ky),edit-kywiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",89898,239048,,1015964436,12127250043900,122375168352526096,,44405616.0,4419416124.0,51371,5.31821,0.000761705,88146,14.0,3.44816,5.27623,4.0,3.879,0.764426,0.19339,0.71749,4.05171,2.401,2.401,0.0,-0.29459,0.0,,397.018,0.0121885,1.25174,,,,,84980.0,0.953204,2291.0,87607.0,51371.0,360.0,104.342,2.72864,0.064234,0.297635,1.661,0.0,2.611,0.0,,,,,,,,,,,,,,,,,,,,152880.0,1.56363
npt,Wikinews edits (pt),edit-ptwikinews/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",42449,247874,,186152917,434810437672,984082071481929,,40242460.0,1066749158.0,65524,11.6787,0.00112365,41024,13.0,3.44057,4.20356,4.0,3.78866,0.812939,0.178581,0.74128,2.45994,3.291,3.291,0.0,-0.177779,0.0,,63607.7,0.0514125,57.9436,,,,,38573.0,0.915853,2149.0,40300.0,65524.0,63650.0,115.344,6.15072,0.0414404,0.265671,1.801,0.0,3.811,0.056,,,,,,,,,,,,,,,,,,,,97313.0,2.54718
zh-classical,Wikipedia edits (zh-classical),edit-zh_classicalwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",74548,249971,,1244193184,18643679053166,222535717042248032,,88760936.0,5687165388.0,48096,6.70631,0.000677658,72979,14.0,3.068,3.88827,4.0,3.16526,0.830501,0.141126,0.695753,4.83468,2.581,2.581,0.0,-0.414471,0.0,,3838.53,0.0440647,4.16699,,,,,69341.0,0.935195,2704.0,71844.0,48096.0,3815.0,92.4449,3.47936,0.0618272,0.221494,1.701,0.0,5.871,0.983,,,,,,,,,,,,,,,,,,,,131646.0,1.89881
se,Wikipedia edits (se),edit-sewiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",18055,261169,,180572996,289670471393,425219060395663,,447730751.0,4304418604.0,19019,28.9304,0.00556624,17247,11.0,2.71871,3.88155,3.0,3.09978,0.821692,0.171155,0.762172,1.73332,2.321,2.321,0.0,-0.324174,0.0,,746.875,0.0498406,1.07147,,,,,15453.0,0.864745,1372.0,16683.0,19019.0,706.0,190.356,15.6548,0.0527321,0.24805,1.611,0.0,2.471,0.0,,,,,,,,,,,,,,,,,,,,127406.0,2.0499
nds-nl,Wikipedia edits (nds-nl),edit-nds_nlwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",18232,262921,,137831089,186960881253,239453637612066,,395663481.0,3716930824.0,24661,28.8417,0.00421736,16700,12.0,2.93937,3.89211,3.0,3.15447,0.847471,0.159274,0.75312,1.8746,1.621,,,-0.304526,0.0,,1286.43,0.0285371,1.75114,,,,,14396.0,0.834841,1542.0,16690.0,24661.0,2875.0,170.506,15.7532,0.0431841,0.209671,,,,,,,,,,,,,,,,,,,,,,,,108538.0,2.42239
pam,Wikipedia edits (pam),edit-pamwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",19529,265279,,242086465,494206888550,940526842445638,,731384457.0,6819736422.0,21624,27.1677,0.00543905,18495,12.0,1.9554,3.86838,2.0,2.95914,0.835674,0.17024,0.744213,1.83964,2.671,2.671,0.0,-0.309461,0.0,,800.174,0.0149774,2.56183,,,,,16600.0,0.872032,1313.0,18216.0,21624.0,239.0,202.04,14.563,0.0488128,0.229524,1.661,0.0,7.971,0.007,,,,,,,,,,,,,,,,,,,,130089.0,2.03921
or,Wikipedia edits (or),edit-orwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",59154,256511,,385152806,1429924083058,4618970553888471,,79698740.0,2178520682.0,34842,8.67265,0.00072037,58330,10.0,3.37947,3.93725,4.0,3.66647,0.806722,0.174429,0.726704,2.93436,2.631,2.631,0.0,-0.24962,0.0,,838.874,0.0396679,1.58301,,,,,54201.0,0.91877,3116.0,56038.0,34842.0,2409.0,82.3206,4.57745,0.0517366,0.256094,1.591,0.022,2.741,0.0,,,,,,,,,,,,,,,,,,,,125787.0,2.03925
vls,Wikipedia edits (vls),edit-vlswiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",19886,264055,,128631580,176467374982,247605180171228,,334131632.0,3187829160.0,19418,26.5569,0.00338284,18710,11.0,3.09852,3.90059,4.0,3.26663,0.849445,0.159272,0.757231,1.95095,1.651,,,-0.211735,0.0,,1522.04,0.0392844,1.95909,,,,,16063.0,0.830816,1824.0,18062.0,19418.0,2498.0,144.767,14.6194,0.0476492,0.2049,,,,,,,,,,,,,,,,,,,,,,,,111448.0,2.36931
Wpa,Wikipedia links (pa),wikipedia_link_pa/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",39753,537334,98.0,158126133,188089301058,277516292358026,10189866.0,1788144105.0,14938535770.0,8309,27.0336,0.00034002,39141,14.0,3.46877,4.87035,4.0,4.00613,0.797336,0.165887,0.858863,1.5741,1.801,,,-0.0794553,0.0,0.193324,450.575,0.036865,1.47481,0.613617,0.0203799,0.0368554,0.000410797,19670.0,0.494805,,,,,,,,,,,,,611.0,8072.0,18351.0,0.461626,0.189461,0.159662,0.515077,0.731484,247.306,205.149,0.365084,,,,,,,,,,
moc,Wiktionary edits (oc),edit-ocwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",45224,275469,,797546209,3828180204354,15436567238503784,,660652251.0,8475705582.0,38548,12.1824,0.00778943,44974,12.0,3.17947,3.8464,4.0,3.24632,0.784124,0.197354,0.688187,2.18258,4.431,,,-0.351011,0.0,,644.549,0.0385734,1.48378,,,,,44340.0,0.981603,426.0,44798.0,38548.0,632.0,646.641,6.14914,0.0411226,0.275585,,,,,,,,,,,,,,,,,,,,,,,,148653.0,1.8531
ilo,Wikipedia edits (ilo),edit-ilowiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",46658,286084,,1058460698,14134428091214,152846753099497280,,283772312.0,6504525602.0,135872,12.263,0.00223639,45972,10.0,1.57305,2.38841,2.0,2.19027,0.847121,0.149232,0.677308,3.36812,2.201,2.201,0.0,-0.597229,0.0,,1099.4,0.00703465,1.89472,,,,,44169.0,0.953583,1170.0,45488.0,135872.0,374.0,244.516,6.28922,0.0367235,0.222309,1.681,0.0,2.231,0.0,,,,,,,,,,,,,,,,,,,,119023.0,2.4036
Wnds,Wikipedia links (nds),wikipedia_link_nds/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",39034,541578,391.0,118040301,75295914059,50487272059285,2220994.0,351937494.0,3288516694.0,3730,27.749,0.000355447,38842,11.0,3.32118,4.58933,4.0,3.82583,0.715706,0.222836,0.891783,1.5008,2.401,,,-0.131566,0.0,0.0564467,192.434,0.0637714,1.04207,0.281807,0.034493,0.0637644,0.000723251,15337.0,0.392914,,,,,,,,,,,,,702.0,3695.0,28601.0,0.73272,0.247654,0.198764,0.736281,0.231547,157.076,88.141,0.419565,,,,,,,,,,
gv,Wikipedia edits (gv),edit-gvwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",18060,281618,,274799517,649253674418,1443149123750590,,737428949.0,6999112026.0,28323,31.1869,0.00621228,17367,11.0,1.76112,3.67759,2.0,2.62358,0.819466,0.18352,0.747788,1.73011,2.731,2.731,0.0,-0.358367,0.0,,813.174,0.0778021,1.49704,,,,,15506.0,0.866741,1284.0,16776.0,28323.0,432.0,219.329,16.787,0.0409313,0.24551,1.651,0.0,5.851,0.0,,,,,,,,,,,,,,,,,,,,133815.0,2.10453
mda,Wiktionary edits (da),edit-dawiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",50397,276040,,1133085739,8608892296990,61503414691291104,,702571371.0,10153287868.0,33722,10.9546,0.00468023,49839,11.0,1.90877,3.8497,2.0,2.94111,0.74181,0.213063,0.709776,1.92536,2.931,2.931,0.0,-0.214606,0.0,,470.753,0.0348433,1.40094,,,,,48635.0,0.968535,805.0,49592.0,33722.0,301.0,342.907,5.56622,0.0478735,0.316552,1.551,0.0,3.031,0.0,,,,,,,,,,,,,,,,,,,,186842.0,1.4774
vfr,Wikivoyage edits (fr),edit-frwikivoyage/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",25086,283080,,108847488,229277234338,456279776731562,,82119274.0,1092614308.0,55497,22.5688,0.000889813,24631,10.0,3.21199,4.50161,4.0,3.57499,0.860682,0.144143,0.755564,2.34916,2.411,2.411,0.0,-0.280725,0.0,,1833.28,0.108054,1.19574,,,,,19535.0,0.783563,4203.0,20883.0,55497.0,3761.0,67.3519,13.5555,0.0735375,0.192984,1.891,0.006,2.201,0.0,,,,,,,,,,,,,,,,,,,,78100.0,3.62458
Wps,Wikipedia links (ps),wikipedia_link_ps/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",12949,637529,25.0,279314916,173944199924,52994692215514,61339024.0,34506558280.0,277170706958.0,1623,98.4677,0.00380213,12612,13.0,4.07421,6.05438,5.0,4.63571,0.849575,0.135855,0.828393,1.48586,1.391,,,0.154864,0.0,0.658816,907.985,0.0127746,1.21764,0.688812,0.0335186,0.0712686,0.000229129,6312.0,0.487451,,,,,,,,,,,,,1012.0,1294.0,6212.0,0.479728,0.101117,0.176616,0.57892,0.97485,594.533,367.003,0.461123,,,,,,,,,,
PCh,Catster households,petster-cat-household/,Online social network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",105138,494858,,1805021303,18364455897295,162772677444775328,2305753.0,1295382806.0,17584137376.0,37346,9.41349,0.000208753,68315,10.0,2.10103,2.92602,3.0,2.61664,0.729337,0.222243,0.815099,1.61767,2.271,2.271,0.0,-0.133905,0.0,0.00383223,308.337,0.0834532,1.10146,0.0921135,0.0480554,0.0834478,0.00144085,32026.0,0.465116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx,BookCrossing (ratings),bookcrossing_rating/,Rating network,"['Bipartite', 'undirected', 'Ratings', 'no multiple edges']",263757,433652,,80944469,141344884260,268754486843948,,1457330.0,336304276.0,8524,3.28827,2.9973900000000005e-05,229137,23.0,5.15619,6.92303,6.0,5.64999,0.662876,0.237367,0.894421,3.14662,2.081,,,-0.0589459,0.0,,152.914,6.92946e-05,,,,,,149758.0,0.567788,77802.0,185955.0,8524.0,707.0,5.57379,2.33203,0.199243,0.298022,,,,,,,,,,,,,,,,0.4557,0.00516059,,0.000357269,,,,,,
wa,Wikipedia edits (wa),edit-wawiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",38946,311049,,465986386,2820387115733,15333838425572086,,394927900.0,5023698818.0,77710,15.9733,0.00238663,37501,12.0,3.00822,3.83608,4.0,3.08415,0.872798,0.128311,0.709855,2.77012,2.001,2.001,0.0,-0.558263,0.0,,1517.15,0.0456881,2.06705,,,,,35462.0,0.928665,1455.0,37491.0,77710.0,752.0,213.779,8.29663,0.0408199,0.182036,1.651,0.0,8.911,0.041,,,,,,,,,,,,,,,,,,,,130189.0,2.38921
Wpms,Wikipedia links (pms),wikipedia_link_pms/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",67205,569036,3.0,5227582024,71827411630676,871232667869401600,1129980.0,12322196055.0,119488961080.0,62772,16.9343,0.00012599,67205,6.0,1.57109,2.20442,2.0,2.12847,0.618833,0.286669,0.787138,1.50151,1.871,,,-0.313047,0.0,0.000648472,493.353,0.237909,1.01063,0.0105148,0.0439926,0.237926,0.00375507,50031.0,0.744454,,,,,,,,,,,,,1487.0,62701.0,19892.0,0.29599,0.387014,0.107958,0.13962,0.0994852,490.423,50.0,0.12921,,,,,,,,,,
CS,CiteSeer,citeseer/,Citation network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",384413,1751463,6873.0,81727579,,,1351820.0,25382500.0,533442606.0,1739,9.1124,,365154,34.0,5.64546,7.95712,6.0,6.34817,0.578549,0.284825,,,2.731,,,-0.0618264,0.0,0.0496217,,0.00460512,,0.286994,0.00480789,,0.000262567,202319.0,,,,,,,,,,,,,,289.0,1739.0,,,0.321688,0.237567,,,49.5216,7.06503,,,,,,,,,,,
am,Wikipedia edits (am),edit-amwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",45123,314419,,309489596,861425558648,2417381224716798,,493722067.0,5188059520.0,29442,13.9361,0.00177777,43157,12.0,3.49135,5.48228,4.0,3.97765,0.878856,0.111875,0.717074,2.87858,2.041,2.041,0.0,-0.523836,0.0,,933.883,0.0166502,1.64412,,,,,40670.0,0.921282,1873.0,43250.0,29442.0,364.0,167.869,7.2698,0.0398099,0.1636,1.741,0.0,4.721,0.0,,,,,,,,,,,,,,,,,,,,144012.0,2.18328
fo,Wikipedia edits (fo),edit-fowiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",39779,315895,,414380853,2013427957713,9717891439616014,,492814267.0,5600366156.0,44010,15.8825,0.00188238,38895,10.0,3.18811,4.30331,4.0,3.40957,0.873088,0.127648,0.729133,2.47234,1.891,1.891,0.0,-0.44031,0.0,,821.47,0.0774072,1.15865,,,,,35372.0,0.896152,2212.0,37567.0,44010.0,1082.0,142.81,8.40884,0.0519951,0.176423,1.671,0.0,1.911,0.0,,,,,,,,,,,,,,,,,,,,156422.0,2.0195
Tsr,Wikipedia talk (sr),wiki_talk_sr/,Communication network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",103068,312837,17756.0,1421288750,19063671862197,218240304747369440,103105.0,85487620.0,6369340732.0,47687,6.0705,1.4406600000000002e-05,102816,7.0,2.84354,3.79196,3.0,3.21908,0.820749,0.149006,0.68106,6.07031,2.831,2.831,0.0,-0.330145,0.0,0.00021763,5147.51,0.0437119,1.58935,0.529573,0.011641,0.0247205,0.00219301,99966.0,0.969903,,,,,,,,,,,,,47685.0,9057.0,2416.0,0.0234408,0.056579,0.246863,0.683829,0.0384078,2609.0,2550.56,0.121365,,,,,1.651,0.046,2.871,0.0,153042.0,2.04413
bat-smg,Wikipedia edits (bat-smg),edit-bat_smgwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",28718,319814,,285510331,597395376171,1132648284325356,,676046449.0,6550753364.0,20587,22.2727,0.00321465,27963,13.0,3.07742,3.86894,4.0,3.21159,0.871154,0.131059,0.730453,2.07026,1.881,1.881,0.0,-0.475125,0.0,,1520.46,0.0369943,1.45682,,,,,25545.0,0.892152,1679.0,27039.0,20587.0,1744.0,190.479,11.8279,0.0390321,0.179554,1.731,0.0,7.541,0.03,,,,,,,,,,,,,,,,,,,,145940.0,2.19141
qde,Wikiquote edits (de),edit-dewikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",447892,2889203,,74460010939,5479059424606325,3.872 27 × 1020,,23446547576.0,485416160492.0,561627,12.9013,0.000914248,445885,11.0,1.75426,3.7412,2.0,2.69579,0.696865,0.243833,,1.82666,,,,-0.0676722,0.0,,4525.63,,,,,,,,,4371.0,443521.0,561627.0,20767.0,660.994,6.51424,0.0336221,0.363237,,,,,,,,,,,,,,,,,,,,,,,,1772388.0,1.63012
